Date,Open ,High ,Low ,Close ,Prev. Close,SMA_20,EMA_20,RSI_14,EMA_12,EMA_26,MACD,Signal_Line,BB_Upper,BB_Lower
28-02-2025,13.3075,14.1225,13.2325,13.91,Close ,,,,,,,,,
27-02-2025,13.715,14.0075,12.91,13.31,13.91,,,,,,,,,
25-02-2025,14.4425,15.0775,13.605,13.72,13.31,,,,,,,,,
24-02-2025,14.53,15.58,14.365,14.44,13.72,,,,,,,,,
21-02-2025,14.6825,15.2425,12.0825,14.53,14.44,,,,,,,,,
20-02-2025,15.42,15.9025,14.6375,14.6825,14.53,,,,,,,,,
19-02-2025,15.665,16.0225,14.7525,15.42,14.6825,,,,,,,,,
18-02-2025,15.7225,16.3225,14.78,15.665,15.42,,,,,,,,,
17-02-2025,15.015,16.31,14.4975,15.7225,15.665,,,,,,,,,
14-02-2025,14.955,15.6775,14.3575,15.015,15.7225,,,,,,,,,
13-02-2025,14.895,15.465,12.195,14.955,15.015,,,,,,,,,
12-02-2025,14.87,15.6225,14.6075,14.895,14.955,,,,14.68875,,,,,
11-02-2025,14.445,15.4325,13.845,14.87,14.895,,,,14.71663462,,,,,
10-02-2025,13.685,14.7175,13.685,14.445,14.87,,,,14.67484467,,,,,
07-02-2025,14.175,14.505,13.55,13.685,14.445,,,,14.52256088,,,,,
06-02-2025,14.0825,14.64,13.15,14.175,13.685,,,47.77,14.46908997,,,,,
05-02-2025,14.0175,14.2975,13.4975,14.0825,14.175,,,58.76,14.40961459,,,,,
04-02-2025,14.3525,15.1325,13.665,14.0175,14.0825,,,53.92,14.34928927,,,,,
03-02-2025,14.095,15.1125,14.095,14.3525,14.0175,,,44.68,14.34978323,,,,,
01-02-2025,16.2475,16.58,14.0125,14.095,14.3525,14.499375,14.095,47.89,14.31058581,,,,15.81642701,13.18232299
31-01-2025,17.39,17.9425,16.1075,16.2475,14.095,14.61625,14.3,43.2,14.60857261,,,,16.11536246,13.11713754
30-01-2025,18.64,18.985,17.2175,17.39,16.2475,14.82025,14.59428571,57.22,15.03648451,,,,16.64579599,12.99470401
29-01-2025,18.195,19.01,17.2875,18.64,17.39,15.06625,14.97959184,63.01,15.59087151,,,,17.49413868,12.63836132
28-01-2025,18.1325,18.5025,16.8275,18.195,18.64,15.254,15.28582119,68.65,15.99150666,,,,18.03330103,12.47469897
27-01-2025,16.745,18.5225,16.745,18.1325,18.195,15.434125,15.55693345,71.03,16.32089025,,,,18.47088673,12.39736327
24-01-2025,16.695,17.31,16.1175,16.745,18.1325,15.53725,15.67008265,71.01,16.38613791,15.20528846,,,18.60644795,12.46805205
23-01-2025,16.7725,17.0825,15.6675,16.695,16.745,15.601,15.76769382,60.4,16.43365515,15.31563746,1.118017688,,18.71261635,12.48938365
22-01-2025,17.055,17.295,15.905,16.7725,16.695,15.656375,15.86338965,60.24,16.48578513,15.42355321,1.062231921,,18.81189584,12.50085416
21-01-2025,16.415,17.445,15.2025,17.055,16.7725,15.723,15.97687635,63.58,16.57335665,15.54440112,1.028955529,,18.9400674,12.5059326
20-01-2025,15.7475,17.02,15.1825,16.415,17.055,15.793,16.01860241,70.83,16.54899409,15.60888992,0.940104162,,19.00612547,12.57987453
17-01-2025,15.465,16.3825,14.0525,15.7475,16.415,15.832625,15.99278314,63.59,16.4256873,15.61915734,0.806529967,,19.0216937,12.6435563
16-01-2025,15.2575,15.5725,13.9575,15.465,15.7475,15.861125,15.94251807,59.44,16.27788926,15.60773828,0.670150982,,19.02500065,12.69724935
15-01-2025,15.47,15.6625,15.1975,15.2575,15.465,15.8805,15.87727826,58.01,16.12090629,15.5817947,0.539111595,,19.02349706,12.73750294
14-01-2025,15.9975,15.9975,15.115,15.47,15.2575,15.93175,15.83848985,55.08,16.02076686,15.57351361,0.447253254,,19.00892792,12.85457208
13-01-2025,14.915,16.185,14.45,15.9975,15.47,16.047375,15.85363368,57.76,16.01718735,15.60492001,0.412267337,0.780513604,18.9371726,13.1575774
10-01-2025,14.6575,15.515,14.6575,14.915,15.9975,16.084375,15.76423999,48.27,15.84762006,15.55381482,0.293805239,0.683171931,18.89098462,13.27776538
09-01-2025,14.465,14.885,13.7475,14.6575,14.915,16.113125,15.65883618,32.75,15.66452467,15.48742113,0.177103535,0.581958252,18.84415376,13.38209624
08-01-2025,14.66,14.88,14.095,14.465,14.6575,16.1355,15.5451375,17.79,15.47998241,15.41168623,0.068296177,0.479225837,18.8007785,13.4702215
